exp,metric,target,group,n_group,n_base,mean_group,mean_base,contrast,ci_lo,ci_hi,p,panel_z,q,flag
novel_swap,warmth,deepseek-v4-flash@alibaba,uk,16,80,8.822916666666666,7.4520833333333325,1.3708333333333336,0.4623958333333337,2.2416666666666654,0.24346177854525008,1.4658005798341585,0.6039724890834088,False
novel_swap,warmth,deepseek-v4-flash@alibaba,us,16,80,8.5625,7.504166666666667,1.0583333333333327,-0.03130208333333333,2.0396354166666657,0.3952851306271462,0.8677295038284235,0.7393773242019601,False
novel_swap,warmth,deepseek-v4-flash@deepinfra,china,16,80,2.958333333333333,8.4125,-5.454166666666667,-6.456302083333334,-4.1768229166666675,1.6733918670548282e-08,-1.9990758665750215,1.4391170056671522e-06,False
novel_swap,warmth,deepseek-v4-flash@deepinfra,india,16,80,7.864583333333334,7.43125,0.43333333333333357,-0.8729687500000001,1.704218749999998,0.645857368032624,0.023048488953425535,0.8421828893037435,False
novel_swap,warmth,deepseek-v4-flash@deepinfra,invented,16,80,8.71875,7.260416666666666,1.458333333333334,0.36656250000000046,2.408489583333334,0.0769066733499768,1.2017994601350492,0.2975633929829017,False
novel_swap,warmth,deepseek-v4-flash@deepinfra,russia,16,80,8.0,7.404166666666666,0.5958333333333341,-0.6938541666666663,1.7313020833333332,0.9684686229207256,0.44821940132798904,1.0,False
novel_swap,warmth,deepseek-v4-flash@deepinfra,uk,16,80,8.635416666666666,7.2770833333333345,1.3583333333333316,0.33744791666666535,2.3273958333333318,0.18707525632012278,1.3963739612429797,0.5566984277952053,False
novel_swap,warmth,deepseek-v4-flash@deepinfra,us,16,80,8.84375,7.235416666666666,1.6083333333333343,0.5915624999999983,2.5668749999999996,0.041776053641394736,1.6733526547685398,0.21556443678959686,False
novel_swap,warmth,gemini-3.1-flash-lite,china,16,80,8.510416666666666,8.958333333333332,-0.4479166666666661,-0.862552083333334,-0.10625000000000102,0.009365547877161814,0.4770330812061976,0.07550972975961712,False
novel_swap,warmth,gemini-3.1-flash-lite,india,16,80,8.895833333333334,8.88125,0.01458333333333428,-0.37505208333333157,0.36473958333333134,0.80270527842617,-0.6751672947196603,0.9475161659108579,False
novel_swap,warmth,gemini-3.1-flash-lite,invented,16,80,9.083333333333332,8.84375,0.23958333333333215,-0.08541666666666714,0.5523437499999974,0.1788903188830887,-0.11278770964643461,0.5494488365694867,False
novel_swap,warmth,gemini-3.1-flash-lite,russia,16,80,9.208333333333332,8.81875,0.3895833333333325,0.07697916666666763,0.6729166666666657,0.04617576168411073,0.26285915986415237,0.21710600459613155,False
novel_swap,warmth,gemini-3.1-flash-lite,uk,16,80,8.84375,8.891666666666666,-0.04791666666666572,-0.41249999999999964,0.2896354166666659,0.787286957606375,-0.39882990656283374,0.9475161659108579,False
novel_swap,warmth,gemini-3.1-flash-lite,us,16,80,8.760416666666668,8.908333333333333,-0.14791666666666536,-0.5313020833333333,0.23130208333333238,0.47179544056558353,-0.5836840207285571,0.7966970727551245,False
novel_swap,warmth,glm-5.3-flash,china,12,78,7.333333333333333,7.720085470085468,-0.3867521367521354,-1.3270833333333305,0.504273504273506,0.32501751073264207,0.4947482576735627,0.6897996971366118,False
novel_swap,warmth,glm-5.3-flash,india,16,74,8.208333333333332,7.551801801801804,0.6565315315315283,0.0860782657657645,1.1876407657657642,0.06970986911552592,0.3832849766779241,0.29395694104708764,False
novel_swap,warmth,glm-5.3-flash,invented,15,75,7.333333333333333,7.735555555555557,-0.4022222222222238,-1.1402777777777784,0.26450000000000107,0.2107964859567385,-0.8097899751785197,0.572478877650932,False
novel_swap,warmth,glm-5.3-flash,russia,15,75,7.800000000000001,7.642222222222223,0.15777777777777757,-0.5866666666666661,0.8822777777777794,0.6832309871946067,-0.07363834941729837,0.8598711936400416,False
novel_swap,warmth,glm-5.3-flash,uk,16,74,7.6875,7.6644144144144155,0.02308558558558449,-0.8177927927927928,0.8244650900900904,0.621854365344847,-0.27640765391717653,0.8315846252986647,False
novel_swap,warmth,glm-5.3-flash,us,16,74,7.552083333333333,7.693693693693694,-0.14161036036036112,-0.8063978040540545,0.48624014639639457,0.5419276757434652,-0.5483526303283536,0.8248830454986398,False
novel_swap,warmth,gpt-5.4-mini,china,16,80,8.479166666666666,8.9,-0.4208333333333343,-0.7751041666666688,-0.0748958333333332,0.027625058843040392,0.48943549365712957,0.16198329957964594,False
novel_swap,warmth,gpt-5.4-mini,india,16,80,8.791666666666666,8.8375,-0.04583333333333428,-0.4354687500000001,0.3000000000000007,0.8381106253675421,-0.7841916776073694,0.952566261430951,False
novel_swap,warmth,gpt-5.4-mini,invented,16,80,9.208333333333334,8.754166666666666,0.4541666666666675,0.13744791666666598,0.7208854166666663,0.012717087929935424,0.1265787881781702,0.0911391301645372,False
novel_swap,warmth,gpt-5.4-mini,russia,16,80,8.739583333333332,8.847916666666666,-0.10833333333333428,-0.5083333333333329,0.26046874999999914,0.621775300731273,-0.47634722668396806,0.8315846252986647,False
novel_swap,warmth,gpt-5.4-mini,uk,16,80,8.9375,8.808333333333334,0.12916666666666643,-0.16666666666666607,0.47083333333333144,0.6253000670850425,-0.16383885745429116,0.8315846252986647,False
novel_swap,warmth,gpt-5.4-mini,us,16,80,8.822916666666666,8.83125,-0.008333333333334636,-0.36463541666666727,0.3624999999999972,0.9443809712424577,-0.4004879398950946,1.0,False
novel_swap,warmth,kimi-k2.6,china,16,80,6.135416666666666,7.4,-1.2645833333333343,-2.3771354166666665,-0.15822916666666542,0.022314715823117715,0.11485742809882997,0.14041943127717976,False
novel_swap,warmth,kimi-k2.6,india,16,80,7.75,7.0770833333333325,0.6729166666666675,-0.23359375000000088,1.5168229166666667,0.1449365236681745,0.3683252251650991,0.4733370013466965,False
novel_swap,warmth,kimi-k2.6,invented,16,80,7.104166666666667,7.20625,-0.10208333333333286,-0.8418750000000009,0.6063541666666671,0.6224012904068166,-0.4737934741971612,0.8315846252986647,False
novel_swap,warmth,kimi-k2.6,russia,16,80,7.041666666666666,7.21875,-0.17708333333333393,-1.2376041666666673,0.8292187499999988,0.9607240533411365,-0.48626191778493133,1.0,False
novel_swap,warmth,kimi-k2.6,uk,16,80,7.229166666666666,7.18125,0.04791666666666572,-0.6208333333333336,0.7188020833333331,0.7978937149525094,-0.2558603339202625,0.9475161659108579,False
novel_swap,warmth,kimi-k2.6,us,16,80,7.875,7.052083333333334,0.8229166666666661,0.12078125000000106,1.468802083333333,0.10206291382132432,0.6390642692182565,0.3657254411930788,False
novel_swap,warmth,llama-4-maverick,china,16,80,8.895833333333332,8.8625,0.03333333333333144,-0.4667187500000018,0.48140624999999837,0.9879319670306284,0.6967280854762886,1.0,False
novel_swap,warmth,llama-4-maverick,india,16,80,8.822916666666668,8.877083333333335,-0.05416666666666714,-0.5438020833333326,0.38546874999999914,0.5826184968097632,-0.7803124183565928,0.8248830454986398,False
novel_swap,warmth,llama-4-maverick,invented,16,80,9.25,8.791666666666666,0.4583333333333339,0.13119791666666636,0.8020833333333321,0.2243314178946978,0.13077002384599198,0.5912352821122149,False
novel_swap,warmth,llama-4-maverick,russia,16,80,8.729166666666666,8.895833333333334,-0.16666666666666785,-0.7208333333333315,0.33546875000000015,0.47091717113095266,-0.5490693019598398,0.7966970727551245,False
novel_swap,warmth,llama-4-maverick,uk,16,80,8.65625,8.910416666666666,-0.25416666666666643,-0.8604687499999991,0.31067708333333205,0.5552584253633683,-0.6562191787026411,0.8248830454986398,False
novel_swap,warmth,llama-4-maverick,us,16,80,8.854166666666666,8.870833333333334,-0.016666666666667496,-0.6812500000000004,0.5313541666666678,0.5285415774073169,-0.3955586192693835,0.8248830454986398,False
novel_swap,warmth,mistral-medium-3.5,china,16,80,9.03125,9.483333333333333,-0.4520833333333325,-0.9917187500000004,0.016874999999997906,0.2433492183894962,0.47408868397107445,0.6039724890834088,False
novel_swap,warmth,mistral-medium-3.5,india,16,80,9.645833333333332,9.360416666666667,0.28541666666666465,0.1083333333333325,0.4708333333333315,0.4858676113708529,-0.21940950647775168,0.8066915222622206,False
novel_swap,warmth,mistral-medium-3.5,invented,16,80,9.541666666666666,9.38125,0.16041666666666643,-0.13338541666666792,0.43541666666666506,0.3501195452611102,-0.2018532380928541,0.7057097084169253,False
novel_swap,warmth,mistral-medium-3.5,russia,16,80,9.291666666666666,9.43125,-0.13958333333333428,-0.5313020833333315,0.23963541666666693,0.784394818779527,-0.523927878348796,0.9475161659108579,False
novel_swap,warmth,mistral-medium-3.5,uk,16,80,9.479166666666668,9.39375,0.08541666666666714,-0.18963541666666653,0.3563020833333341,0.9547171371230785,-0.222951094121679,1.0,False
novel_swap,warmth,mistral-medium-3.5,us,16,80,9.458333333333334,9.397916666666665,0.06041666666666856,-0.22510416666666802,0.32510416666666714,0.8043004535823586,-0.3144084866181603,0.9475161659108579,False
novel_swap,warmth,qwen3.7-plus,china,16,80,8.104166666666666,7.720833333333334,0.38333333333333197,-0.6583854166666674,1.341770833333333,0.5467482872202113,0.8500071504455984,0.8248830454986398,False
novel_swap,warmth,qwen3.7-plus,india,16,80,8.239583333333332,7.69375,0.5458333333333325,-0.23760416666666734,1.333385416666667,0.6890730245014054,0.19251247664713542,0.8630137879677796,False
novel_swap,warmth,qwen3.7-plus,invented,16,80,7.010416666666667,7.939583333333333,-0.9291666666666663,-2.3896354166666676,0.41473958333333205,0.23000728986086105,-1.2584146699520606,0.5959165844413852,False
novel_swap,warmth,qwen3.7-plus,russia,16,80,8.375,7.666666666666666,0.7083333333333339,-0.17708333333333395,1.6395833333333316,0.10413021878943125,0.6491458200891171,0.36802186914620905,False
novel_swap,warmth,qwen3.7-plus,uk,16,80,7.510416666666666,7.839583333333333,-0.3291666666666666,-1.4649999999999985,0.7626041666666663,0.5401942871441558,-0.6603267288247906,0.8248830454986398,False
novel_swap,warmth,qwen3.7-plus,us,16,80,7.46875,7.8479166666666655,-0.37916666666666554,-1.5315104166666667,0.750104166666667,0.4150461325160355,-0.7573149154010231,0.7576930929532392,False
novel_swap,discourages_setting,claude-sonnet-5,china,16,80,0.5729166666666666,0.18749999999999997,0.38541666666666663,0.17703124999999997,0.5874999999999999,0.00020631696283965605,0.5911404046799181,0.0044358147010526055,False
novel_swap,discourages_setting,claude-sonnet-5,india,16,80,0.22916666666666666,0.25625,-0.02708333333333332,-0.2,0.15624999999999997,0.8916717773826282,-0.431632824530875,0.9744269235802234,False
novel_swap,discourages_setting,claude-sonnet-5,invented,16,80,0.020833333333333332,0.2979166666666666,-0.2770833333333333,-0.3645833333333333,-0.18333333333333332,0.0043132195819091095,-1.063618256033816,0.04166941422077353,False
novel_swap,discourages_setting,claude-sonnet-5,russia,16,80,0.3333333333333333,0.23541666666666666,0.09791666666666665,-0.10833333333333334,0.3145833333333333,0.42694134887810675,0.6082457460499613,0.764936583406608,False
novel_swap,discourages_setting,claude-sonnet-5,uk,16,80,0.24999999999999997,0.2520833333333333,-0.0020833333333333537,-0.16666666666666669,0.18958333333333333,0.7984492350905634,0.19862850657882308,0.9475161659108579,False
novel_swap,discourages_setting,claude-sonnet-5,us,16,80,0.10416666666666666,0.28125,-0.17708333333333334,-0.3125,-0.012500000000000039,0.07665078562388616,-0.5533898965267461,0.2975633929829017,False
novel_swap,discourages_setting,deepseek-v4-flash@alibaba,china,16,80,0.7395833333333333,0.14166666666666666,0.5979166666666667,0.4103645833333333,0.7687499999999999,3.824539830355909e-08,1.5222911745924543,2.4668281905795613e-06,False
novel_swap,discourages_setting,deepseek-v4-flash@alibaba,india,16,80,0.3125,0.2270833333333333,0.0854166666666667,-0.11880208333333332,0.2896354166666664,0.31847787610770506,0.37437612731182046,0.6897996971366118,False
novel_swap,discourages_setting,deepseek-v4-flash@alibaba,invented,16,80,0.0,0.2895833333333333,-0.2895833333333333,-0.3833333333333333,-0.2,0.003994572694099514,-1.1727236647508943,0.04166941422077353,False
novel_swap,discourages_setting,deepseek-v4-flash@alibaba,russia,16,80,0.16666666666666666,0.25625,-0.08958333333333332,-0.2541666666666667,0.10625000000000001,0.4895014523785315,-0.7510210231396676,0.8066915222622206,False
novel_swap,discourages_setting,deepseek-v4-flash@alibaba,uk,16,80,0.08333333333333333,0.27291666666666664,-0.18958333333333333,-0.32505208333333335,-0.031197916666666922,0.07428629990721637,-1.1731378772324612,0.2975633929829017,False
novel_swap,discourages_setting,deepseek-v4-flash@alibaba,us,16,80,0.14583333333333331,0.26041666666666663,-0.11458333333333331,-0.2833333333333333,0.08541666666666664,0.2585598729059494,-0.143756911808653,0.6234434318666817,False
novel_swap,discourages_setting,deepseek-v4-flash@deepinfra,china,16,80,0.8333333333333333,0.15208333333333335,0.6812499999999999,0.5166145833333333,0.8187499999999999,2.526180139783934e-09,2.031057993834636,3.2587723803212747e-07,True
novel_swap,discourages_setting,deepseek-v4-flash@deepinfra,india,16,80,0.4375,0.23125,0.20625,-0.04588541666666664,0.4396354166666664,0.07727421445680005,1.1999077555117663,0.2975633929829017,False
novel_swap,discourages_setting,deepseek-v4-flash@deepinfra,invented,16,80,0.03125,0.3125,-0.28125,-0.3958333333333333,-0.17083333333333328,0.010239312961418822,-1.0704289285309923,0.07769831600135459,False
novel_swap,discourages_setting,deepseek-v4-flash@deepinfra,russia,16,80,0.14583333333333331,0.2895833333333333,-0.14375,-0.3041666666666667,0.06458333333333333,0.18909335192693122,-1.1995042219605783,0.5566984277952053,False
novel_swap,discourages_setting,deepseek-v4-flash@deepinfra,uk,16,80,0.08333333333333333,0.30208333333333337,-0.21875000000000006,-0.34791666666666665,-0.08958333333333335,0.0844370647574549,-1.482223698081746,0.3157211986583096,False
novel_swap,discourages_setting,deepseek-v4-flash@deepinfra,us,16,80,0.0625,0.30625,-0.24375000000000002,-0.3583854166666667,-0.11249999999999999,0.035005704682881354,-1.0559402330488934,0.1881556626704873,False
novel_swap,discourages_setting,gemini-3.1-flash-lite,china,16,80,0.0625,0.016666666666666666,0.04583333333333334,-0.03333333333333333,0.17916666666666667,0.6292898861332703,-0.6753427490304396,0.8325989262686345,False
novel_swap,discourages_setting,gemini-3.1-flash-lite,india,16,80,0.041666666666666664,0.020833333333333332,0.020833333333333332,-0.04583333333333332,0.11677083333333277,0.6495906781838952,-0.09251777428438851,0.8421828893037435,False
novel_swap,discourages_setting,gemini-3.1-flash-lite,invented,16,80,0.0,0.029166666666666664,-0.029166666666666664,-0.0625,-0.004166666666666667,0.3710737036195948,0.8663227558903155,0.721227041212123,False
novel_swap,discourages_setting,gemini-3.1-flash-lite,russia,16,80,0.0,0.029166666666666664,-0.029166666666666664,-0.06666666666666667,-0.004166666666666667,0.3710737036195948,-0.3612913529830733,0.721227041212123,False
novel_swap,discourages_setting,gemini-3.1-flash-lite,uk,16,80,0.020833333333333332,0.025,-0.004166666666666669,-0.05,0.05416666666666667,0.6805319244295678,0.2159307793653673,0.8598711936400416,False
novel_swap,discourages_setting,gemini-3.1-flash-lite,us,16,80,0.020833333333333332,0.024999999999999998,-0.004166666666666666,-0.05416666666666666,0.05416666666666667,0.6805319244295678,0.6086028886226015,0.8598711936400416,False
novel_swap,discourages_setting,glm-5.3-flash,china,12,78,0.2638888888888889,0.1111111111111111,0.1527777777777778,-0.005341880341880378,0.32692307692307687,0.011650685669651698,-0.2527568339080509,0.08588219722200394,False
novel_swap,discourages_setting,glm-5.3-flash,india,16,74,0.0625,0.1463963963963964,-0.0838963963963964,-0.1694960585585585,0.0050675675675675574,0.32212950838049037,-1.0384419838796712,0.6897996971366118,False
novel_swap,discourages_setting,glm-5.3-flash,invented,15,75,0.06666666666666667,0.14444444444444443,-0.07777777777777777,-0.18666666666666668,0.08000000000000002,0.06812884769679328,0.42292354047298186,0.29314976299842777,False
novel_swap,discourages_setting,glm-5.3-flash,russia,15,75,0.17777777777777778,0.12222222222222222,0.055555555555555566,-0.07777777777777778,0.21116666666666634,0.28728810045926634,0.34905163753752283,0.6501504452152871,False
novel_swap,discourages_setting,glm-5.3-flash,uk,16,74,0.08333333333333333,0.14189189189189189,-0.05855855855855856,-0.17286036036036034,0.09515765765765763,0.16735906197802308,-0.18684366906322492,0.5330696048188883,False
novel_swap,discourages_setting,glm-5.3-flash,us,16,74,0.16666666666666666,0.12387387387387387,0.042792792792792786,-0.08783783783783784,0.20046452702702697,0.38492611340408533,0.8821933510289751,0.7322283043317058,False
novel_swap,discourages_setting,gpt-5.4-mini,china,16,80,0.12499999999999999,0.06458333333333333,0.06041666666666666,-0.047968750000000004,0.18749999999999997,0.19696349783039946,-0.6147808622403418,0.5646286937804784,False
novel_swap,discourages_setting,gpt-5.4-mini,india,16,80,0.10416666666666666,0.06875,0.03541666666666665,-0.058333333333333334,0.14791666666666664,0.23559492873264065,0.03168728085214487,0.5959165844413852,False
novel_swap,discourages_setting,gpt-5.4-mini,invented,16,80,0.0,0.08958333333333332,-0.08958333333333332,-0.13958333333333334,-0.04583333333333332,0.07391842711361069,0.37431844360031874,0.2975633929829017,False
novel_swap,discourages_setting,gpt-5.4-mini,russia,16,80,0.10416666666666666,0.06875,0.03541666666666665,-0.07505208333333334,0.18541666666666665,0.6136425213043812,0.19926407080579686,0.8315846252986647,False
novel_swap,discourages_setting,gpt-5.4-mini,uk,16,80,0.0625,0.07708333333333332,-0.014583333333333323,-0.1125,0.1375,0.3567331306604412,0.12542514175972888,0.7134662613208824,False
novel_swap,discourages_setting,gpt-5.4-mini,us,16,80,0.05208333333333333,0.07916666666666666,-0.027083333333333334,-0.10416666666666667,0.062499999999999986,0.7852565175101462,0.434421245986231,0.9475161659108579,False
novel_swap,discourages_setting,kimi-k2.6,china,16,80,0.6041666666666666,0.2520833333333333,0.3520833333333333,0.1561979166666666,0.5458333333333334,0.0008563227105812668,0.46931483146349173,0.01390013925261107,False
novel_swap,discourages_setting,kimi-k2.6,india,16,80,0.3958333333333333,0.29375,0.1020833333333333,-0.08125000000000004,0.29171874999999975,0.23392855759343445,0.5117739080688123,0.5959165844413852,False
novel_swap,discourages_setting,kimi-k2.6,invented,16,80,0.13541666666666666,0.3458333333333333,-0.21041666666666667,-0.3541666666666667,-0.04583333333333339,0.04628228780150091,-0.4846415017652166,0.21710600459613155,False
novel_swap,discourages_setting,kimi-k2.6,russia,16,80,0.41666666666666663,0.28958333333333336,0.12708333333333327,-0.09583333333333327,0.3666666666666666,0.27188221932509093,0.789091078130146,0.6435377301456281,False
novel_swap,discourages_setting,kimi-k2.6,uk,16,80,0.28125,0.3166666666666667,-0.03541666666666671,-0.22505208333333337,0.17088541666666637,0.7794233753377684,-0.02114344494224951,0.9475161659108579,False
novel_swap,discourages_setting,kimi-k2.6,us,16,80,0.03125,0.36666666666666664,-0.33541666666666664,-0.4354166666666666,-0.2229166666666667,0.0008078976783964969,-1.928818617838859,0.01390013925261107,False
novel_swap,discourages_setting,llama-4-maverick,china,16,80,0.020833333333333332,0.07708333333333332,-0.056249999999999994,-0.11875,0.006302083333333055,0.4551002899370775,-1.1219145666933945,0.7851181306925918,False
novel_swap,discourages_setting,llama-4-maverick,india,16,80,0.03125,0.075,-0.04375,-0.11458333333333331,0.0375,0.49353689418611235,-0.6669154730016432,0.8066915222622206,False
novel_swap,discourages_setting,llama-4-maverick,invented,16,80,0.020833333333333332,0.07708333333333332,-0.056249999999999994,-0.11666666666666665,0.01046874999999972,0.4551002899370775,0.6286003883418313,0.7851181306925918,False
novel_swap,discourages_setting,llama-4-maverick,russia,16,80,0.08333333333333333,0.06458333333333334,0.01874999999999999,-0.08755208333333335,0.16041666666666662,0.8798445670682123,0.06626291866826708,0.9659570140578673,False
novel_swap,discourages_setting,llama-4-maverick,uk,16,80,0.14583333333333331,0.05208333333333333,0.09374999999999999,-0.047968750000000004,0.2896354166666664,0.2859465785878488,0.879368869657124,0.6501504452152871,False
novel_swap,discourages_setting,llama-4-maverick,us,16,80,0.10416666666666666,0.06041666666666666,0.04375,-0.075,0.20416666666666666,0.3368789218574151,0.8959968890573418,0.6897996971366118,False
novel_swap,discourages_setting,mistral-medium-3.5,china,16,80,0.041666666666666664,0.008333333333333333,0.03333333333333333,-0.025,0.125,0.2106600893645445,-0.732226043967745,0.572478877650932,False
novel_swap,discourages_setting,mistral-medium-3.5,india,16,80,0.041666666666666664,0.008333333333333333,0.03333333333333333,-0.025,0.125,0.2106600893645445,0.014898662937127832,0.572478877650932,False
novel_swap,discourages_setting,mistral-medium-3.5,invented,16,80,0.0,0.016666666666666666,-0.016666666666666666,-0.041666666666666664,0.0,0.537933017361556,0.9775710230435273,0.8248830454986398,False
novel_swap,discourages_setting,mistral-medium-3.5,russia,16,80,0.0,0.016666666666666666,-0.016666666666666666,-0.041666666666666664,0.0,0.537933017361556,-0.24780594918404605,0.8248830454986398,False
novel_swap,discourages_setting,mistral-medium-3.5,uk,16,80,0.0,0.016666666666666666,-0.016666666666666666,-0.041666666666666664,0.0,0.537933017361556,0.12084676591471229,0.8248830454986398,False
novel_swap,discourages_setting,mistral-medium-3.5,us,16,80,0.0,0.016666666666666666,-0.016666666666666666,-0.041666666666666664,0.0,0.537933017361556,0.5246313339204552,0.8248830454986398,False
novel_swap,discourages_setting,qwen3.7-plus,china,16,80,0.14583333333333331,0.17083333333333334,-0.025000000000000022,-0.16666666666666666,0.15624999999999997,0.3859808115857054,-0.94754471343395,0.7322283043317058,False
novel_swap,discourages_setting,qwen3.7-plus,india,16,80,0.15625,0.16875,-0.012500000000000011,-0.14791666666666664,0.15213541666666638,0.8539553990248703,-0.34118091568514813,0.9620982224821683,False
novel_swap,discourages_setting,qwen3.7-plus,invented,16,80,0.11458333333333333,0.17708333333333331,-0.062499999999999986,-0.17291666666666664,0.0583854166666664,0.4724598919826901,0.5491358883669102,0.7966970727551245,False
novel_swap,discourages_setting,qwen3.7-plus,russia,16,80,0.20833333333333331,0.15833333333333333,0.04999999999999999,-0.09791666666666667,0.21255208333333303,0.5486895348266634,0.30283260990263866,0.8248830454986398,False
novel_swap,discourages_setting,qwen3.7-plus,uk,16,80,0.2708333333333333,0.14583333333333331,0.125,-0.020833333333333343,0.27083333333333326,0.04288646132358892,1.1721389413501795,0.21695503963697926,False
novel_swap,discourages_setting,qwen3.7-plus,us,16,80,0.10416666666666666,0.17916666666666667,-0.07500000000000001,-0.18130208333333334,0.04791666666666666,0.39912906811554727,0.10322985525359235,0.7408294933367712,False
novel_swap,real_parallels,claude-sonnet-5,china,16,80,2.6041666666666665,2.052083333333333,0.5520833333333335,0.2582812499999995,0.85625,0.05913903831997556,0.27061719223248215,0.2724619979741731,False
novel_swap,real_parallels,claude-sonnet-5,india,16,80,2.333333333333333,2.10625,0.22708333333333286,-0.15625,0.6000000000000003,0.5947135087271747,0.058914002253319026,0.8251179716957088,False
novel_swap,real_parallels,claude-sonnet-5,invented,16,80,1.5208333333333333,2.26875,-0.7479166666666666,-1.2542187500000002,-0.2498958333333339,0.004360752651011183,-0.09576651519754298,0.04166941422077353,False
novel_swap,real_parallels,claude-sonnet-5,russia,16,80,2.7291666666666665,2.0270833333333336,0.702083333333333,0.4207812499999996,0.9770833333333333,0.00652190444112922,0.5624538928971107,0.056668430947261636,False
novel_swap,real_parallels,claude-sonnet-5,uk,16,80,1.65625,2.2416666666666663,-0.5854166666666663,-1.1771354166666665,-0.016614583333333995,0.03333110482317565,-0.8504129142902354,0.18694402270389823,False
novel_swap,real_parallels,claude-sonnet-5,us,16,80,2.020833333333333,2.16875,-0.14791666666666714,-0.7041666666666668,0.38552083333333304,0.8724011955955233,0.04320127223654742,0.9659570140578673,False
novel_swap,real_parallels,deepseek-v4-flash@alibaba,china,16,80,0.9999999999999999,1.91875,-0.9187500000000001,-1.3270833333333332,-0.46875,0.00018840940271811645,-2.273990711359039,0.004419056900115822,True
novel_swap,real_parallels,deepseek-v4-flash@alibaba,india,16,80,2.302083333333333,1.6583333333333332,0.6437499999999998,0.2853645833333333,0.9666666666666668,0.006823312459877739,1.3242997716935658,0.056787568214466344,False
novel_swap,real_parallels,deepseek-v4-flash@alibaba,invented,16,80,1.1770833333333333,1.8833333333333333,-0.70625,-1.0687499999999996,-0.3187500000000001,0.002166609728555603,0.0018440834544284589,0.031054739442630305,False
novel_swap,real_parallels,deepseek-v4-flash@alibaba,russia,16,80,2.333333333333333,1.6520833333333331,0.6812499999999999,0.3791145833333333,0.9917187499999995,0.0036939624338795736,0.4908982034566768,0.04166941422077353,False
novel_swap,real_parallels,deepseek-v4-flash@alibaba,uk,16,80,1.9479166666666665,1.7291666666666665,0.21875,-0.2500520833333331,0.6813020833333332,0.3473714823660491,1.014420941889071,0.7056837988223674,False
novel_swap,real_parallels,deepseek-v4-flash@alibaba,us,16,80,1.8333333333333333,1.7520833333333332,0.08125000000000004,-0.26249999999999996,0.42083333333333317,0.8085138739834891,0.7120610403083156,0.9475161659108579,False
novel_swap,real_parallels,deepseek-v4-flash@deepinfra,china,16,80,1.1770833333333333,1.8833333333333333,-0.70625,-1.1500520833333336,-0.18953125000000018,0.0041407318680338695,-1.7267813876997673,0.04166941422077353,False
novel_swap,real_parallels,deepseek-v4-flash@deepinfra,india,16,80,1.8854166666666665,1.7416666666666667,0.14374999999999982,-0.2167187500000001,0.4916666666666667,0.5927733952261557,-0.16886018626079785,0.8251179716957088,False
novel_swap,real_parallels,deepseek-v4-flash@deepinfra,invented,16,80,1.2916666666666667,1.8604166666666664,-0.5687499999999996,-1.0020833333333332,-0.0978645833333334,0.014632042551259711,0.3346443472718487,0.09934386784802646,False
novel_swap,real_parallels,deepseek-v4-flash@deepinfra,russia,16,80,2.270833333333333,1.6645833333333333,0.6062499999999997,0.2749479166666668,0.9125520833333329,0.00973875047995845,0.2667101933329073,0.07613932193422061,False
